# assembly_accession	refseq_category	taxid	organism_name	infraspecific_name	assembly_level	seq_rel_date	ftp_path	strain_name	assembly_level_int	refseq_category_int
GCF_000213215.1	representative genome	933801	Acidianus hospitalis W1	W1	Complete Genome	2011/05/12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/215/GCF_000213215.1_ASM21321v1	Acidianus hospitalis W1	4	1
GCF_000144915.1	representative genome	666510	Acidilobus saccharovorans 345-15	345-15	Complete Genome	2010/08/06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/915/GCF_000144915.1_ASM14491v1	Acidilobus saccharovorans 345-15	4	1
GCF_001399695.1	na	507754	Acidiplasma aeolicum	V	Contig	2015/10/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/399/695/GCF_001399695.1_ASM139969v1	Acidiplasma aeolicum V	1	0
GCF_001402945.1	representative genome	507754	Acidiplasma aeolicum	VT	Contig	2015/10/22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/402/945/GCF_001402945.1_ASM140294v1	Acidiplasma aeolicum VT	1	1
GCF_001402935.1	na	312540	Acidiplasma cupricumulans	BH2	Contig	2015/10/22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/402/935/GCF_001402935.1_ASM140293v1	Acidiplasma cupricumulans BH2	1	0
GCF_000949015.1	na	1293648	Acidiplasma sp. MBA-1	MBA-1	Contig	2015/03/06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/949/015/GCF_000949015.1_ASM94901v1	Acidiplasma sp. MBA-1	1	0
GCF_000025665.1	representative genome	439481	Aciduliprofundum boonei T469	T469	Complete Genome	2010/02/24	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/665/GCF_000025665.1_ASM2566v1	Aciduliprofundum boonei T469	4	1
GCF_000327505.1	na	673860	Aciduliprofundum sp. MAR08-339	MAR08-339	Complete Genome	2012/12/21	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/327/505/GCF_000327505.1_ASM32750v1	Aciduliprofundum sp. MAR08-339	4	0
GCF_001316065.1	representative genome	1198449	Aeropyrum camini SY1 = JCM 12091	JCM 12091	Contig	2015/10/01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/316/065/GCF_001316065.1_ASM131606v1	Aeropyrum camini SY1 = JCM 12091	1	1
GCF_900069765.1	na	2234	Archaeoglobus fulgidus		Contig	2016/09/20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/069/765/GCF_900069765.1_ASM90006976v1	Archaeoglobus fulgidus	1	0
