variant_id	variant_name	copy_number
00000	Staphylothermus_marinus_F1_@rrn00	1
00001	Acidianus_hospitalis_W1_@rrn01	1
00002	Vibrio_vulnificus_JY1305_@rrn03	1
00002	Vibrio_vulnificus_VA-WGS-18057_@rrn00	1
00002	Vibrio_vulnificus_VA-WGS-18063_@rrn00	1
00003	Vibrio_parahaemolyticus_NIHCB0757_@rrn00	1
00004	Streptococcus_sp._I-P16_@rrn00	1
00005	Arthrobacter_sp._H14_@rrn00	1
00006	Clostridioides_difficile_E15_@rrn01	1
00006	Clostridioides_difficile_E28_@rrn01	1
00006	Clostridioides_difficile_T22_@rrn01	1
00006	Clostridioides_difficile_E13_@rrn01	1
00006	Clostridioides_difficile_T11_@rrn01	1
00006	Clostridioides_difficile_T15_@rrn01	1
00006	Clostridioides_difficile_E25_@rrn01	1
00006	Clostridioides_difficile_E9_@rrn01	1
00006	Streptococcus_mutans_ATCC_55676_@rrn01	1
00006	Streptococcus_anginosus_OUP12_@rrn01	1
00006	Parabacteroides_merdae_BIOML-A20_@rrn01	1
00006	Parabacteroides_merdae_BIOML-A16_@rrn01	1
00006	Eggerthella_sp._BIOML-A4_@rrn01	1
00006	Eggerthella_sp._BIOML-A3_@rrn01	1
00006	Enterococcus_durans_BIOML-A44_@rrn01	1
00006	Lacticaseibacillus_rhamnosus_AMC0720_@rrn01	1
00006	Hydrogenispora_sp._UUS1-1_@rrn01	1
00006	Flavonifractor_plautii_D31t1_170403_E8_@rrn00	1
00006	Flavonifractor_plautii_D6t1_180914_E2_@rrn00	1
00006	Enterococcus_faecium_1001295B_180824_B8_@rrn00	1
00006	Ruminococcus_sp._J1101004_170508_H5_@rrn00	1
00006	Clostridium_butyricum_1001713B170214_170313_A7_@rrn00	1
00006	Bifidobacterium_longum_1001713B170214_170313_H7_@rrn01	1
00006	Lactococcus_lactis_J1101437_171009_F11_@rrn00	1
00006	Lactococcus_lactis_1001287H_170206_A2_@rrn00	1
00006	Enterococcus_faecalis_1001713B170131_170501_C7_@rrn01	1
00006	Bifidobacterium_longum_BSD2780061687b_171204_C6_@rrn01	1
00006	Roseburia_faecis_D53t1_180928_E1_@rrn00	1
00006	Enterococcus_avium_J1101653_170612_D1_@rrn01	1
00006	Clostridium_saudiense_1001283B150217_161031_B10_@rrn01	1
00006	Bifidobacterium_breve_BSD2780061687_150420_F12_@rrn00	1
00006	Clostridium_tertium_BSD2780120875b_170604_A12_@rrn00	1
00006	Clostridium_butyricum_1001311H_170123_H1_@rrn00	1
00006	Clostridium_sp._D53t1_180928_C8_@rrn00	1
00006	Streptococcus_salivarius_D43t1_170807_H4_@rrn00	1
00006	Blautia_wexlerae_D53t1_180928_D9_@rrn00	1
00006	Turicibacter_sanguinis_BSD2780120875b_170604_A1_@rrn00	1
00006	Eubacterium_tenue_1001254J_160919_B3_@rrn00	1
00006	Eggerthella_lenta_J1101653_170612_B5_@rrn01	1
00006	Citrobacter_freundii_1001311H_170123_E11_@rrn00	1
00006	Citrobacter_farmeri_1001295B_180824_H11_@rrn00	1
00006	Streptococcus_anginosus_D40t1_170626_B7_@rrn00	1
00006	Blautia_wexlerae_1001713B170221_170320_F12_@rrn00	1
00006	Streptococcus_salivarius_1001095IJ_161003_D10_@rrn01	1
00006	Enterococcus_casseliflavus_1001287H_170206_D3_@rrn00	1
00006	Enterococcus_durans_BSD2780061688b_171218_B8_@rrn00	1
00006	Bifidobacterium_longum_1001283B150225_161107_F12_@rrn01	1
00006	Lactobacillus_crispatus_D31t1_170403_E4_@rrn00	1
00006	Enterococcus_faecalis_1001311H_170123_G1_@rrn01	1
00006	Enterococcus_avium_BSD2780061687b_171204_B3_@rrn00	1
00006	Streptococcus_mutans_1001095IJ_161003_G6_@rrn01	1
00006	Streptococcus_mutans_D40t1_170626_E1_@rrn00	1
00006	Enterococcus_faecium_1001287H_170206_C9_@rrn00	1
